date,POW,POW to POS,POS,OTHER
2018-09-13,0.7244611121055917,0.1274815392217049,0.07992187257110649,0.06813547610159686
2018-09-14,0.7250873923931767,0.12773923162714884,0.07955595768614333,0.06761741829353118
2018-09-15,0.7195744426480243,0.1326684118689823,0.07981043079916122,0.06794671468383222
2018-09-16,0.7193158434082942,0.13197467020063625,0.08074191027924411,0.06796757611182541
2018-09-17,0.7274392794582395,0.125004388297958,0.07855617118248613,0.06900016106131639
2018-09-18,0.7148363348787427,0.12779662641230832,0.07919595120055575,0.07817108750839323
2018-09-19,0.7141273079735898,0.1270737957628674,0.07995483029755278,0.07884406596598997
2018-09-20,0.6880256712788807,0.12784530621351914,0.08296205483764098,0.10116696766995914
2018-09-21,0.6681233378927057,0.1309309641728582,0.08364078177261305,0.11730491616182301
2018-09-22,0.6702133475668648,0.12870183334880994,0.08129914377760727,0.119785675306718
2018-09-23,0.6650129622360844,0.1298905464457669,0.08610385258358576,0.11899263873456294
2018-09-24,0.6804850662130822,0.12724901918839057,0.08395601734006018,0.10830989725846696
2018-09-25,0.676547381765073,0.1238122149922625,0.08266748967637966,0.11697291356628481
2018-09-26,0.6829509515994923,0.12155483584235306,0.08165127055534799,0.11384294200280667
2018-09-27,0.6791493796519403,0.12360463487385309,0.0825442086847225,0.1147017767894841
2018-09-28,0.6806914512738174,0.12167634747194667,0.08219144040631968,0.11544076084791628
2018-09-29,0.6713527414588393,0.12566004391628469,0.08182402901036145,0.12116318561451456
2018-09-30,0.6697065006805436,0.12575863709076376,0.08186737411343839,0.12266748811525427
2018-10-01,0.6701721055214265,0.12545797664229394,0.08185448232074376,0.12251543551553586
2018-10-02,0.6793719600730344,0.12571750742649102,0.08182947275273203,0.11308105974774256
2018-10-03,0.6793852285013668,0.12341690767951495,0.08138248730041026,0.11581537651870792
2018-10-04,0.6803846467408572,0.12326763857431709,0.08184537942952129,0.1145023352553044
2018-10-05,0.680323814339708,0.1252543658986644,0.0822852701124384,0.11213654964918919
2018-10-06,0.6852793010950149,0.12560084085040452,0.08200411884868053,0.1071157392059001
2018-10-07,0.685545589967047,0.1258233718874696,0.08306869764117801,0.10556234050430542
2018-10-08,0.6836569824827288,0.12608182647445548,0.08413923626532012,0.10612195477749561
2018-10-09,0.685298996994022,0.12615120227730445,0.08393882667696023,0.10461097405171332
2018-10-10,0.6873521387448781,0.1263856948519788,0.08408191001066437,0.10218025639247871
2018-10-11,0.7103262423485476,0.11697664637716784,0.07946681488639017,0.09323029638789439
2018-10-12,0.7008315471099055,0.11920963171719776,0.08012442077503666,0.09983440039786007
2018-10-13,0.7000348922637164,0.1205675234710099,0.08001740351922047,0.09938018074605319
2018-10-14,0.7049487292373646,0.11914741778121005,0.07932303509371604,0.09658081788770925
2018-10-15,0.6988219455012027,0.12050290949147562,0.07966061971663972,0.10101452529068196
2018-10-16,0.69474991615231,0.11999208469382978,0.07978912641970863,0.10546887273415165
2018-10-17,0.6932657700438719,0.11882026813253059,0.08224790036613011,0.10566606145746738
2018-10-18,0.6949604398504609,0.11827315561943313,0.0820252499617242,0.10474115456838178
2018-10-19,0.6949446993143651,0.11865301701209402,0.08234931859307727,0.1040529650804636
2018-10-20,0.6940579002947328,0.11900303668780893,0.08238259682676599,0.10455646619069231
2018-10-21,0.6944005636013517,0.11900148237316782,0.0824855258272116,0.10411242819826891
